monadicstate.links,purestate.links,state.links
193999,14752,84824
192725,15152,84275
193453,14765,84703
192866,15097,84249
192687,14827,84711
192468,14789,84366
192511,14828,85132
192490,14788,84898
192735,14825,84442
194522,14806,84476
192343,14823,84211
192312,14872,84867
192309,14902,84873
192250,14809,84552
192650,14807,84077
192340,14819,84765
192377,14838,84558
192562,14785,84367
192363,14815,85045
192529,14803,85229
193000,14816,85120
193324,14790,84769
192820,14782,84688
192068,15054,84683
193000,14755,84773
