sieve1001.links,sieve101.links,sieve1201.links,sieve201.links,sieve401.links,sieve601.links,sieve801.links
320,22,499,26,73,128,200
307,21,472,32,73,103,186
307,20,472,30,59,104,186
307,19,472,28,52,103,186
307,19,472,27,51,103,187
337,18,472,26,51,103,189
308,18,474,24,51,102,187
307,18,473,24,51,103,186
307,18,472,24,51,103,187
308,18,513,24,51,103,187
313,18,472,24,51,102,186
307,17,472,24,74,140,186
312,17,502,23,59,105,186
307,17,473,24,53,131,186
307,17,505,23,51,103,186
312,17,478,24,51,103,186
307,17,475,24,51,103,220
308,18,472,24,51,103,222
307,17,472,24,52,103,186
333,18,472,24,51,103,189
307,17,472,28,51,103,186
307,17,472,25,50,103,187
307,17,472,24,51,103,186
307,18,473,26,51,107,187
307,17,472,25,51,140,186
