
monadicstate.links,605,570,570,570,571,571,571,571,570,571,570,570,571,602,572,572,572,604,571,571,571,571,571,573,604,
purestate.links,24,23,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
sieve1001.links,157,153,153,153,153,154,153,153,153,153,153,153,165,154,155,153,153,153,153,153,154,153,153,153,153,
sieve101.links,20,19,19,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,
sieve1201.links,254,224,225,225,225,224,224,224,225,225,224,224,258,225,225,225,225,225,233,225,225,225,225,225,225,
sieve201.links,28,25,23,22,22,21,21,21,21,21,21,21,26,24,23,22,22,21,21,25,23,22,21,21,24,
sieve401.links,40,38,35,35,35,35,35,35,35,35,35,45,52,44,51,43,39,36,35,35,51,43,39,37,35,
sieve601.links,73,61,61,61,90,71,62,61,61,61,60,61,61,61,85,88,69,61,61,61,61,60,61,61,61,
sieve801.links,101,99,99,99,99,99,99,99,99,100,99,99,100,99,99,99,99,99,100,132,101,99,101,100,100,
state.links,1136,1126,1126,1131,1127,1126,1126,1126,1158,1126,1126,1127,1127,1126,1126,1126,1132,1131,1165,1127,1126,1154,1126,1126,1126,
