queens12.links,queens12_nohandler.links,queens16.links,queens16_nohandler.links,queens20.links,queens20_nohandler.links,queens8.links,queens8_nohandler.links
18,20,77,90,1624,1441,15,18
18,18,66,69,1589,1448,15,16
19,18,66,63,1590,1424,15,16
17,17,65,63,1590,1424,15,16
17,22,65,62,1593,1424,15,15
17,21,65,83,1591,1423,15,15
16,20,66,66,1632,1423,15,15
16,19,65,63,1593,1426,15,15
16,18,65,63,1591,1422,15,15
16,17,65,63,1589,1423,15,15
16,18,65,63,1605,1427,15,15
16,17,65,62,1593,1452,15,15
16,17,65,62,1619,1423,15,15
16,16,65,62,1591,1426,15,15
16,16,93,63,1591,1425,19,15
16,16,98,63,1589,1422,18,15
16,16,95,66,1592,1423,17,15
16,16,73,63,1590,1431,17,15
16,16,65,62,1589,1436,16,15
16,16,81,86,1590,1426,16,15
16,16,67,68,1672,1422,16,15
16,16,65,63,1590,1424,15,15
16,16,65,63,1591,1518,15,16
16,16,65,63,1589,1424,15,16
16,16,65,64,1606,1424,15,15
