queens12.links,queens12_nohandler.links,queens16.links,queens16_nohandler.links,queens20.links,queens20_nohandler.links,queens8.links,queens8_nohandler.links
285,280,15753,15522,539486,460131,94,91
284,278,15932,15580,535398,464239,92,89
284,277,15761,15524,535765,460432,92,89
284,277,15730,15540,535605,465001,125,89
284,278,15755,15590,535464,460402,94,125
325,278,15733,15537,536815,466856,92,91
285,278,15787,15575,535857,463678,92,89
313,278,15736,15520,537754,459966,92,123
320,280,15845,15862,535931,459703,92,127
284,278,15921,15612,536622,462084,92,92
285,279,15764,15530,536578,460042,120,89
284,278,15753,15529,536977,463442,92,90
284,277,15754,15521,536322,460182,134,90
284,278,15718,15522,536395,461498,94,90
284,318,15744,15511,537151,460110,92,89
286,279,15772,15669,535979,460850,91,89
284,278,15828,15522,535872,460937,92,122
284,278,15734,15535,536503,460535,92,126
284,279,15740,15572,538195,460316,92,92
285,281,15758,15549,537761,460629,92,89
283,279,15792,15547,535712,462230,114,89
285,279,15751,15582,537101,461228,120,89
285,278,15763,15534,536776,460323,129,89
284,278,15787,15531,536158,462789,95,89
284,278,15746,15543,536082,460826,92,89
