
mandelbrot_nohandlers.links,57,47,41,37,36,36,36,62,59,46,41,38,36,37,54,44,40,36,36,36,36,36,35,36,36,36,36,36,36,36,36,36,36,36,36,35,36,37,37,36,36,37,35,36,36,36,36,36,35,36,
monadicstate.links,408,392,400,393,393,392,394,441,393,393,393,393,393,392,392,392,393,442,390,391,392,392,391,391,441,392,393,397,392,392,392,393,392,396,409,426,390,392,391,391,390,391,390,400,390,393,390,392,390,439,
purestate.links,127,94,93,93,93,93,93,93,93,93,134,96,93,93,93,93,128,95,93,131,95,93,93,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,92,132,96,93,93,93,93,93,
queens12_minimal.links,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
queens12_minimal_nohandler.links,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,
queens16_minimal.links,98,70,61,61,61,65,91,69,60,61,60,60,60,61,60,61,60,61,60,60,60,86,96,70,60,61,61,60,61,60,61,60,61,60,60,60,60,60,65,60,61,61,61,60,61,60,60,61,61,62,
queens16_minimal_nohandler.links,61,59,58,59,58,58,58,58,59,58,62,58,60,58,58,58,58,60,58,59,58,60,59,58,59,58,58,60,58,58,58,58,58,59,58,59,58,58,58,60,58,58,59,59,58,58,86,70,93,67,
queens20_minimal.links,1897,1856,1855,1855,1855,1875,1860,1855,1858,1858,1855,1855,1856,1856,1893,1855,1855,1855,1892,1933,1855,1855,1856,1856,1859,1857,1855,1856,1858,1856,1855,1856,1855,1854,1855,1859,1855,1856,1912,1896,1855,1857,1854,1857,1856,1855,1857,1856,1854,1854,
queens20_minimal_nohandler.links,1715,1682,1687,1699,1682,1706,1705,1744,1735,1688,1683,1704,1683,1681,1706,1683,1683,1681,1681,1706,1682,1707,1700,1712,1707,1682,1689,1690,1683,1681,1705,1705,1681,1692,1681,1687,1687,1683,1705,1681,1705,1681,1689,1703,1691,1736,1688,1682,1683,1705,
queens8_minimal.links,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
queens8_minimal_nohandler.links,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
sieve.links,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,5,4,4,4,4,5,4,4,
state.links,2301,2301,2303,2304,2317,2331,2344,2250,2302,2304,2306,2342,2461,2218,2312,2309,2373,2294,2305,2307,2299,2304,2309,2225,2297,2219,2307,2306,2335,2329,2305,2398,2302,2310,2303,2301,2300,2303,2315,2333,2226,2318,2489,2308,2304,2302,2309,2312,2300,2297,
