mandelbrot_nohandlers.links,monadicstate.links,purestate.links,queens12_minimal.links,queens12_minimal_nohandler.links,queens16_minimal.links,queens16_minimal_nohandler.links,queens20_minimal.links,queens20_minimal_nohandler.links,queens8_minimal.links,queens8_minimal_nohandler.links,sieve.links,state.links
57,408,127,4,3,98,61,1897,1715,2,2,6,2301
47,392,94,3,2,70,59,1856,1682,1,1,6,2301
41,400,93,3,2,61,58,1855,1687,2,1,6,2303
37,393,93,3,2,61,59,1855,1699,1,1,6,2304
36,393,93,3,2,61,58,1855,1682,1,1,6,2317
36,392,93,3,2,65,58,1875,1706,1,1,5,2331
36,394,93,2,2,91,58,1860,1705,1,1,5,2344
62,441,93,2,2,69,58,1855,1744,1,1,5,2250
59,393,93,2,2,60,59,1858,1735,1,1,5,2302
46,393,93,2,2,61,58,1858,1688,1,1,5,2304
41,393,134,2,2,60,62,1855,1683,1,1,5,2306
38,393,96,2,2,60,58,1855,1704,1,1,5,2342
36,393,93,2,2,60,60,1856,1683,1,1,5,2461
37,392,93,2,2,61,58,1856,1681,1,1,4,2218
54,392,93,2,2,60,58,1893,1706,1,1,4,2312
44,392,93,2,2,61,58,1855,1683,1,1,4,2309
40,393,128,2,2,60,58,1855,1683,1,1,5,2373
36,442,95,2,2,61,60,1855,1681,1,1,5,2294
36,390,93,2,2,60,58,1892,1681,1,1,4,2305
36,391,131,2,2,60,59,1933,1706,1,1,4,2307
