mandelbrot_nohandlers.links,monadicstate.links,purestate.links,queens12_minimal.links,queens12_minimal_nohandler.links,queens16_minimal.links,queens16_minimal_nohandler.links,queens20_minimal.links,queens20_minimal_nohandler.links,queens8_minimal.links,queens8_minimal_nohandler.links,sieve.links,state.links
16179,195461,15442,285,280,15753,15522,539486,460131,94,91,202,86667
16187,195430,15372,284,278,15932,15580,535398,464239,92,89,201,86985
16197,197164,15386,284,277,15761,15524,535765,460432,92,89,201,86871
16125,195661,15366,284,277,15730,15540,535605,465001,125,89,201,87129
16137,195880,15428,284,278,15755,15590,535464,460402,94,125,202,86670
16096,195433,15446,325,278,15733,15537,536815,466856,92,91,202,86242
16212,196003,15379,285,278,15787,15575,535857,463678,92,89,201,86678
16108,196003,15389,313,278,15736,15520,537754,459966,92,123,201,86658
16115,198202,15402,320,280,15845,15862,535931,459703,92,127,201,86316
16172,195801,15374,284,278,15921,15612,536622,462084,92,92,201,86276
16168,195373,15443,285,279,15764,15530,536578,460042,120,89,202,86142
16187,195798,15399,284,278,15753,15529,536977,463442,92,90,203,87284
16172,195893,15423,284,277,15754,15521,536322,460182,134,90,246,86205
16105,195817,15419,284,278,15718,15522,536395,461498,94,90,200,86836
16199,195643,15436,284,318,15744,15511,537151,460110,92,89,202,87330
16210,195488,15395,286,279,15772,15669,535979,460850,91,89,201,87029
16121,195856,15411,284,278,15828,15522,535872,460937,92,122,200,86849
16108,195889,15410,284,278,15734,15535,536503,460535,92,126,201,86197
16120,196038,15366,284,279,15740,15572,538195,460316,92,92,200,89010
16094,196331,15380,285,281,15758,15549,537761,460629,92,89,206,86695
