
mandelbrot_nohandlers.links,57,59,48,54,56,62,50,44,38,36,36,36,36,36,36,36,36,36,36,36,36,35,36,35,38,62,61,51,62,64,49,42,37,36,52,64,61,48,40,36,37,36,36,36,36,35,36,36,35,36,35,59,60,48,41,36,36,35,35,36,35,36,36,35,36,36,36,36,35,36,36,35,35,60,46,41,37,36,36,36,36,35,35,36,36,36,36,36,60,47,40,38,35,36,35,36,36,36,35,36,
monadicstate.links,403,390,390,391,390,407,421,441,391,391,394,391,390,398,394,390,390,391,391,430,436,434,393,392,392,392,393,393,396,393,395,392,394,392,395,412,392,393,438,391,390,394,391,397,390,390,392,390,390,390,440,392,395,395,392,400,392,393,392,392,392,392,392,393,393,427,392,392,394,392,393,393,393,392,395,392,392,392,392,433,393,390,392,390,390,390,390,391,390,390,393,390,398,393,390,391,390,391,391,390,
purestate.links,111,131,131,94,93,93,93,93,93,93,93,93,93,93,135,96,93,93,108,93,93,93,132,133,96,93,93,93,93,93,93,93,93,93,93,93,92,93,93,132,94,93,93,132,96,93,93,93,93,93,93,93,93,93,93,93,93,93,136,99,93,93,93,93,93,93,93,93,93,93,93,132,106,93,93,93,92,135,96,93,93,93,103,95,94,93,93,93,93,93,127,95,92,93,93,93,93,93,93,93,
queens12_minimal.links,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
queens12_minimal_nohandler.links,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1,
queens16_minimal.links,61,61,61,61,60,61,62,60,60,60,60,60,60,60,62,61,61,61,61,61,62,61,61,60,60,60,86,67,61,61,60,60,60,61,60,60,60,60,61,60,60,77,89,66,60,60,60,60,64,60,61,60,60,61,60,61,61,60,61,60,61,95,92,95,71,62,61,61,62,60,60,60,60,61,87,67,61,60,61,60,61,60,60,61,61,60,60,77,62,60,60,60,60,89,66,60,60,60,60,60,
queens16_minimal_nohandler.links,87,66,96,86,66,58,58,58,58,58,58,59,58,58,58,63,58,58,90,94,94,90,69,58,58,80,65,58,59,58,58,58,60,59,60,58,58,59,83,83,64,58,59,58,58,58,89,66,62,58,58,74,63,58,59,59,62,58,58,58,58,58,58,58,58,58,59,58,58,91,67,58,58,58,58,58,58,59,59,96,67,58,58,87,70,59,86,66,59,59,58,58,86,69,58,83,64,58,96,68,
queens20_minimal.links,1883,1855,1854,1856,1854,1854,1881,1853,1859,1855,1854,1908,1854,1876,1855,1855,1855,1855,1854,1855,1855,1855,1855,1890,1885,1854,1855,1854,1856,1901,1855,1894,1854,1907,1894,1855,1863,1853,1854,1889,1895,1897,1854,1854,1854,1859,1886,1854,1854,1853,1858,1859,1854,1857,1858,1854,1860,1857,1857,1870,1854,1863,1854,1855,1854,1854,1854,1855,1853,1854,1854,1858,1854,1854,1854,1855,1854,1854,1859,1854,1854,1881,1891,1855,1897,1855,1853,1855,1854,1854,1855,1855,1854,1854,1856,1855,1854,1855,1854,1856,
queens20_minimal_nohandler.links,1740,1768,1681,1681,1682,1682,1710,1680,1687,1687,1704,1683,1706,1704,1705,1708,1685,1687,1682,1744,1846,1680,1849,1730,1733,1683,1704,1680,1682,1721,1725,1682,1682,1703,1690,1705,1682,1681,1686,1681,1682,1704,1683,1685,1680,1683,1689,1695,1679,1679,1680,1681,1682,1680,1705,1680,1707,1680,1686,1705,1683,1704,1710,1681,1705,1686,1679,1709,1681,1685,1684,1682,1729,1681,1691,1687,1680,1736,1723,1707,1681,1726,1680,1680,1679,1847,1705,1681,1681,1686,1714,1680,1685,1814,1721,1736,1681,1785,1731,1683,
queens8_minimal.links,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
