mandelbrot_nohandlers.links,monadicstate.links,purestate.links,queens12_minimal.links,queens12_minimal_nohandler.links,queens16_minimal.links,queens16_minimal_nohandler.links,queens20_minimal.links,queens20_minimal_nohandler.links,queens8_minimal.links,queens8_minimal_nohandler.links,sieve.links,state.links
57,403,111,4,2,61,87,1883,1740,2,2,8,2315
59,390,131,2,2,61,66,1855,1768,2,1,7,2429
48,390,131,2,2,61,96,1854,1681,1,1,7,2312
54,391,94,2,2,61,86,1856,1681,1,1,6,2311
56,390,93,2,2,60,66,1854,1682,1,1,5,2309
62,407,93,2,1,61,58,1854,1682,1,1,5,2329
50,421,93,2,1,62,58,1881,1710,1,1,5,2301
44,441,93,2,1,60,58,1853,1680,1,1,4,2283
38,391,93,2,2,60,58,1859,1687,1,1,4,2304
36,391,93,2,2,60,58,1855,1687,1,1,4,2301
36,394,93,2,2,60,58,1854,1704,1,1,4,2303
36,391,93,2,2,60,59,1908,1683,1,1,5,2298
36,390,93,2,2,60,58,1854,1706,1,1,4,2310
36,398,93,2,1,60,58,1876,1704,1,1,4,2306
36,394,135,2,2,62,58,1855,1705,1,1,4,2304
36,390,96,2,2,61,63,1855,1708,1,1,4,2303
36,390,93,2,2,61,58,1855,1685,1,1,4,2297
36,391,93,2,2,61,58,1855,1687,1,1,4,2222
36,391,108,2,2,61,90,1854,1682,1,1,4,2309
36,430,93,2,1,61,94,1855,1744,1,1,4,2297
36,436,93,2,1,62,94,1855,1846,1,1,4,2311
35,434,93,2,2,61,90,1855,1680,1,1,4,2314
36,393,132,2,2,61,69,1855,1849,1,1,4,2301
35,392,133,2,2,60,58,1890,1730,1,1,4,2298
38,392,96,2,1,60,58,1885,1733,1,1,4,2258
62,392,93,2,2,60,80,1854,1683,1,1,4,2298
61,393,93,2,1,86,65,1855,1704,1,1,4,2307
51,393,93,2,2,67,58,1854,1680,1,1,4,2298
62,396,93,2,1,61,59,1856,1682,1,1,4,2302
64,393,93,2,2,61,58,1901,1721,1,1,4,2300
49,395,93,2,1,60,58,1855,1725,1,1,4,2304
42,392,93,2,2,60,58,1894,1682,1,1,4,2329
37,394,93,2,2,60,60,1854,1682,1,1,4,2301
36,392,93,2,2,61,59,1907,1703,1,1,4,2306
52,395,93,2,1,60,60,1894,1690,1,1,4,2298
64,412,93,2,1,60,58,1855,1705,1,1,5,2305
61,392,92,2,2,60,58,1863,1682,1,1,4,2329
48,393,93,2,1,60,59,1853,1681,1,1,4,2351
40,438,93,2,2,61,83,1854,1686,1,1,6,2324
36,391,132,2,1,60,83,1889,1681,1,1,5,2302
37,390,94,2,1,60,64,1895,1682,1,1,4,2302
36,394,93,2,1,77,58,1897,1704,1,1,4,2306
36,391,93,2,2,89,59,1854,1683,1,1,4,2300
36,397,132,2,1,66,58,1854,1685,1,1,4,2306
36,390,96,2,1,60,58,1854,1680,1,1,4,2317
35,390,93,2,2,60,58,1859,1683,1,1,4,2298
36,392,93,2,2,60,89,1886,1689,1,1,4,2303
36,390,93,2,1,60,66,1854,1695,1,1,4,2309
